Paper;Biblio. Ref.;No. Obs.;Publication Year;Country;Mean VSL (dollar 2005);Range (M de dollar 2005);Per capita VSL/GDP ratio
ADB;[6];4;2005;Malaysia;1,194,228;0.7 - 1.7;104
Alberini & Chiabai;[1];7;2006;Italy;2,701,947;1 - 5.6;97
Alberini & Kahn;[8];12;2006;United States;1,266,037;0.2 - 6.4;30
Alberini et al.;[3];11;2006;Czech Republic;2,965,895;0.7 - 5.4;146
Alberini et al.;[2];2;2004;United States;1,421,025;1.1 - 1.7;34
Alberini et al.;[4];3;2007;Italy;3,598,485;1.4 - 6.3;130
Alberini et al.;[5];2;2006;Canada;1,036,062;0.8 - 1.2;27
Alberini et al.;[5];2;2006;United States;1,036,062;0.8 - 1.2;27
Benkhalifa;[XX];XX;2010;Tunisia;149,000;;
Buzby, Ready & Skees;[7];2;1995;United States;6,521,801;5.4 - 7.6;156
Chestnut et al.;[9];12;2009;Canada;5,142,629;2.5 - 9.4;134
Chestnut et al.;[9];12;2009;United States;5,142,629;2.5 - 9.4;134
Davis;[XX];XX;2004;United States;5,600,000;;
Desaigues et al.;[12][31];20;2007;France;2,943,355;0.9 - 9.1;99
Ghani & Faudzi;[14];8;2003;Malaysia;1,269,214;0.7 - 1.9;111
Gibson et al.;[15];1;2007;Thailand;659,955;;96
Giergiczny;[16];3;2006;Poland;795,082;0.2 - 1.7;59
Guo, Haab & Hammitt;[17];1;2006;China;24,427;;6
Hakes & Viscusi;[19];2;2004;United States;6,247,816;6.1 - 6.4;150
Hammitt & Zhou;[20];12;2006;China;115,515;0.02 - 0.4;28
Itaoka et al.;[21];19;2007;Japan;1,280,220;0.5 - 2.8;42
Johannesson, Johansson & Löfgren;[22];14;1997;Sweden;4,509,711;2.8 - 5.5;141
Johannesson, Johansson & O'Conor;[23];4;1996;Sweden;4,652,973;2 - 7.1;145
Jones-Lee, Hammerton & Philips;[24];4;1985;United Kingdom;5,226,967;3.9 - 7.2;166
Krupnick et al.;[25];8;2002;Canada;1,758,343;1.1 - 3.6;50
Krupnick et al.;[26];110;2006;China;562,225;0.1 - 1.7;137
Leiter & Pruckner;[27];24;2009;Austria;3,021,948;1.9 - 5.2;89
Leiter & Pruckner;[28];4;2008;Austria;2,445,736;2.1 - 2.8;72
Madheswaran;[XX];XX;2004;India;216,945;;
Mahmud;[30];4;2006;Bangladesh;5,248;0.04 - 0.07;4
Nathalie et al.;[XX];XX;1999;India;358,000;;
Leung et al.;[18];8;2009;New Zealand;2,870,491;1.8 - 4.4;117
Persson et al.;[32];7;2001;Sweden;3,107,326;1.6 - 4.2;97
Rafik & Shah;[XX];XX;2004;Pakistan;278,000;;
Rheinberger;[33];2;2009;Switzerland;4,362,827;4.2 - 4.5;123
Shanmugam & Madheswaran;[XX];XX;2011;India;3,740,000;;
Schwab Christe & Soguel;[34];4;1995;France;1,094,639;0.3 - 2.2;37
Schwab Christe & Soguel;[34];6;1995;Denmark;13,600,000;9 - 17.5;404
Svensson;[35];14;2009;Sweden;7,693,884;3 - 9.6;240
Tsuge, Kishimoto & Takeuchi;[36];1;2005;Japan;2,695,444;;89
Vassanadumrondgee & Matsuoka;[37];4;2005;Thailand;1,555,256;1.3 - 1.8;226
Viscusi;[XX];XX;2003;United States;9,000,000;;
duVair & Loomis;[13];3;1993;United States;352,962;0.2 - 0.5;8
